Calea frangerii;2;45;9786068626345;1;2;;1;1;0
Indrazneste sa visezi;2;45;9786069339817;1;2;;1;1;0
Drumul schimbarii;2;45;9786069426203;1;2;;1;1;0
Trairea dupa Biblie;2;55;9786067320985;1;2;;1;1;0
Descatusand inima artistului;2;37;9786069422472;1;4;9786069422472.jpg;1;1;0
David si Goliat. outsideri, inadaptati si arta luptei cu gigantii.;2;59;9786068360744;1;2;;1;1;0
Banul tau conteaza;2;27;9789737738509;1;2;;1;1;0
Talmidim;2;27;9786068720968;1;2;;1;1;0
Istoria pierduta a crestinismului;2;64;9786068977249;1;2;;1;1;0
Doua eseuri despre paradis si o incheiere;2;42;9789735063559;1;2;;1;1;0
Dumnezeul risipitor;2;31;9786068626253;1;2;;1;1;0
Crestinul si filmele;2;39;9786067321289;1;2;;1;1;0
C.S. Lewis O viata;2;53;9786069394410;1;2;;1;1;0
Marele mister;2;39;9786069465417;1;2;;1;1;0
Haverim;2;27;9786060450016;1;2;;1;1;0
Asteptand o alta omenire;2;53;9789735062613;1;2;;1;1;0
Pe mana cui suntem?;2;43;9789735062491;1;2;;1;1;0
Puterea relatiei;2;53;9786068709048;1;2;;1;1;0
Cele cinci disfunctii ale unei echipe;2;59;9786303031774;1;2;;1;1;0
Linchpin - Esti de neinlocuit?;2;52;9786067223248;1;2;;1;1;0
Decizii extraordinare;2;59;9786067223996;1;2;;1;1;0
Cum se fac lucrurile mari;2;73;9786067225679;1;2;;1;1;0
Cantecul relevantei;2;52;9786067225884;1;2;;1;1;0
Da semn;2;26;9789731650227;1;2;;1;1;0
Iezuit. Nu cainele comunistilor;2;22;9786068680040;1;2;;1;1;0
Institutia cenzurii comuniste vol.1;2;37;9786069360255;1;2;;1;1;0
Curajul de a fi vulnerabil;2;51;9786064402349;1;2;;1;1;0
Anatomia unei biserici revitalizate;2;34;9786306658015;1;4;9786306658015.jpg;1;1;0
Autopsia unei biserici decedate;2;32;9786069570692;1;4;9786069570692.jpg;1;1;0
Despre necunoscut;2;22;9786069324165;1;2;;1;1;0
Despre ingeri;2;53;9789735054571;1;2;;1;1;0
Minima moralia;2;32;9789735057831;1;2;;1;1;0
Despre inima si alte eseuri;2;50;9789735057732;1;2;;1;1;0
Credinta si ratiune;2;26;9786066666695;1;2;;1;1;0
Imposibila pace in Mediterana;2;27;9786068944579;1;2;;1;1;0
Cristos decupat din imagine;2;37;9789735318321;1;2;;1;1;0
Transfigurari;2;87;9786306658121;1;4;9786306658121.jpg;1;1;0
Transfuzia Bisericii - Neil Cole;2;48;9789737758712;1;2;;1;1;0
Timothy Keller - biografia Collin Hansen;2;66;9786060312031;1;2;;1;1;0
Dumnezeul vailor mele;2;73;9786306513352;1;2;;1;1;0
Isus nedeslusit;2;55;9786069659892;1;2;;1;1;0
Analiza semantica a unor termeni din Noul Testament;2;13;;1;2;;1;1;0
Dictionar de etica;2;0;9786067322873;1;2;;1;1;0
Dictionar de studii biblice;2;37;9786067322866;1;2;;1;1;0
Dictionar de termeni teologici;2;37;9786067322859;1;2;;1;1;0
Dictionar de termeni liturgici;2;0;9786067322842;1;2;;1;1;0
Cascarici;2;27;9786306658152;1;4;9786306658152.jpg;1;1;0
Occidentul debusolat;2;48;9786306543700;1;2;;1;1;0
Imaginatia profetica;2;64;9786306658107;1;4;9786306658107.jpg;1;1;0
Arhitecti ai binelui comun;2;96;9786306658169;1;4;9786306658169.jpg;1;1;0
Invataturi care schimba vieti;2;40;9789731621357;1;2;;1;1;0
Cum sa predai ca un campion;2;0;9786064006615;1;2;;1;1;0
Pedagogia deuteronomista;2;80;9786306658183;1;4;9786306658183.jpg;1;1;0
Ce-o fi fost in capul meu?;2;50;9786306658251;1;4;9786306658251.jpg;1;1;0
Viitorul lumii crestine;2;120;9786306658176;1;4;9786306658176.jpg;1;1;0
Viata si minunile Sf. Gherasim - izgonitorul demonilor;2;10;9786068451909;1;2;;1;1;0
Iubeste-l pe Dumnezeu cu toata mintea ta;2;32;9789731990422;1;2;;1;1;0
Este sufletul nemuritor;2;0;9789730415605;1;2;;1;1;0
Adevar pentru viata;2;65;9789731990989;1;2;;1;1;0
Biblia zilnica;2;0;9781957770376;1;2;;1;1;0
Holy Bible - easy to read;2;0;9781946110978;1;2;;1;1;0
Poveste amuzanta;2;0;9786303420004;1;2;;1;1;0
Trasaturile si tentatiile oamenilor de succes;2;53;9786069486672;1;2;;1;1;0
Cornilescu - din culisele publicarii;2;59;9786069469491;1;2;;1;1;0
Fumatul dusmanul nemilos al omenirii;2;15;9786066661461;1;2;;1;1;0
Hrana , credinta si postul;2;27;9786066666817;1;2;;1;1;0
Partituri pentru dormitor;2;36;9786069234655;1;2;;1;1;0
Intimitate aprinsa;2;43;9786068314396;1;2;;1;1;0
Gata cu durerile de cap;2;33;9786068314471;1;2;;1;1;0
Cum sa prosperi in ciuda unei casnicii dificile;2;36;9786068314518;1;2;;1;1;0
Cum sa crestem in viata de rugaciune?;2;39;9786069365069;1;2;;1;1;0
Misiunea lui Dumnezeu;2;85;9786067320497;1;2;;1;1;0
Avraam tatal tuturor credinciosilor;2;37;9786066980128;1;2;;1;1;0
Oracolele lui Dumnezeu;2;28;9786066980159;1;2;;1;1;0
Educatia sexuala in familie;2;37;9789730257038;1;2;;1;1;0
Crestinul ateu;2;34;9789738960381;1;2;;1;1;0
Planificarea creativa a afacerii;2;64;9786069499689;1;4;9786069499689.jpg;1;1;0
Vesnicia in desfasurare;2;35;9786060310433;1;2;;1;1;0
Suflete cusute;2;30;9786064401076;1;2;;1;1;0
Ajutor.mersi.wow.;2;37;9786064404558;1;2;;1;1;0
Innoirea inimii formarea caracterului cristic;2;49;9786068314426;1;2;;1;1;0
Innoirea inimii in practica zilnica;2;35;9786068314433;1;2;;1;1;0
Trairea in prezenta lui Cristos;2;31;9786068314273;1;2;;1;1;0
Ucenicia la biserica real life;2;33;9786068314532;1;2;;1;1;0
Dogmatica experientei ecleziale;2;37;9789739344326;1;2;;1;1;0
Ortodoxie si evanghelism - Trei perspective;2;48;9786067320213;1;2;;1;1;0
Omul recent;2;95;9789735066970;1;2;;1;1;0
Umbrele modernitatii;2;32;9786064901064;1;2;;1;1;0
Anatomia unei crize;2;43;9789731417868;1;2;;1;1;0
Taina artei;2;22;9786066665070;1;2;;1;1;0
Pierderea Duhului Sfant si redobandirea sa in biserica primara;2;80;9786066668798;1;2;;1;1;0
Biserici cutezatoare;2;27;9786068993669;1;2;;1;1;0
Admirabila tacere;2;27;9786067110685;1;2;;1;1;0
Transumanismul;2;42;9786064904409;1;2;;1;1;0
Consideratii inutile;2;27;9786067116311;1;2;;1;1;0
Revelatie si transformare vol.II;2;53;9786064904584;1;2;;1;1;0
Revelatie si transformare vol.III;2;43;9786064903617;1;2;;1;1;0
Solitar sau solidar;2;32;9786064901538;1;2;;1;1;0
Jurnal de pseudo-blogger;2;32;9786064904898;1;2;;1;1;0
Criza constiintei religioase;2;48;9786064900104;1;2;;1;1;0
Kerygma sau demitologizare;2;22;9786067118001;1;2;;1;1;0
De la Aristotel la John Searle si inapoi;2;22;9786067116779;1;2;;1;1;0
Elogiul prezentei;2;27;9786067118728;1;2;;1;1;0
Exilul - pedeapsa si binecuvantare;2;16;9786067114249;1;2;;1;1;0
Casatoria la romani;2;35;9786064902405;1;2;;1;1;0
In dialog.Studii de filosofie crestina;2;31;9786067113082;1;2;;1;1;0
Teologia vie in ortodoxie;2;16;9789737987570;1;2;;1;1;0
Lehamitea lui Theophil Magus;2;37;9786067115178;1;2;;1;1;0
Andrei Tarkovski. O teodicee cinematografica;2;27;9786067114386;1;2;;1;1;0
Bioetica si ameliorarea umana;2;37;9786064904829;1;2;;1;1;0
Nae Ionescu, asa cum l-am cunoscut;2;31;9789737571847;1;2;;1;1;0
Imaginatia sperantei;2;27;9786067119282;1;2;;1;1;0
Apologia dupa sfarsitul metafizicii;2;32;9786067115048;1;2;;1;1;0
